12222999;DOG CHOW ABRAZZOS JUNIOR*;0.3;32.71;42; DOG CHOW ; Biscuit ; Caninos ; NESTLE S.A. 
12222397;DOG CHOW ABRAZZOS MINI;0.5;44.98;57; DOG CHOW ; Biscuit ; Caninos ; NESTLE S.A. 
12222396;DOG CHOW ABRAZZOS MAXI;0.5;44.98;57; DOG CHOW ; Biscuit ; Caninos ; NESTLE S.A. 
12222318;DOG CHOW ABRAZZOS DUO;0.5;44.98;57; DOG CHOW ; Biscuit ; Caninos ; NESTLE S.A. 
12222398;DOG CHOW ABRAZZOS TARTS*;0.075;20.45;26; DOG CHOW ; Biscuit ; Caninos ; NESTLE S.A. 
12222399;DOG CHOW ABRAZZOS FRUIT MIX*;0.075;20.45;26; DOG CHOW ; Biscuit ; Caninos ; NESTLE S.A. 
12239227;GATI PESCADO, ARROZ Y ESPINACA;0.5;19.19;26; GATI ; Recetas caseras ; Felinos ; NESTLE S.A. 
12239475;GATI PESCADO, ARROZ Y ESPINACA;1;36.17;45; GATI ; Recetas caseras ; Felinos ; NESTLE S.A. 
12239240;GATI PESCADO, ARROZ Y ESPINACA;3;91.67;117; GATI ; Recetas caseras ; Felinos ; NESTLE S.A. 
12239243;GATI PESCADO, ARROZ Y ESPINACA;8;208.39;262; GATI ; Recetas caseras ; Felinos ; NESTLE S.A. 
12239076;GATI PESCADO, ARROZ Y ESPINACA;15;366.24;454; GATI ; Recetas caseras ; Felinos ; NESTLE S.A. 
12239074;GATI POLLO, ZANAHORIA Y ESPINACA;0.5;19.19;26; GATI ; Recetas caseras ; Felinos ; NESTLE S.A. 
12239077;GATI POLLO, ZANAHORIA Y ESPINACA;1;36.17;45; GATI ; Recetas caseras ; Felinos ; NESTLE S.A. 
12239025;GATI POLLO, ZANAHORIA Y ESPINACA;15;366.24;454; GATI ; Recetas caseras ; Felinos ; NESTLE S.A. 
12239027;GATI CARNE, ARROZ Y MAIZ;0.5;19.19;26; GATI ; Recetas caseras ; Felinos ; NESTLE S.A. 
12239026;GATI CARNE, ARROZ Y MAIZ;1;36.17;45; GATI ; Recetas caseras ; Felinos ; NESTLE S.A. 
12239075;GATI CARNE, ARROZ Y MAIZ;15;366.24;454; GATI ; Recetas caseras ; Felinos ; NESTLE S.A. 
12233686;DOGUI CACHORROS, CARNE, CEREALES Y LECHE;1.5;47.38;61; DOG CHOW ; Alimentos ; Caninos ; NESTLE S.A. 
12233689;DOGUI CACHORROS, CARNE, CEREALES Y LECHE;3;82.4;110; DOG CHOW ; Alimentos ; Caninos ; NESTLE S.A. 
12233687;DOGUI CACHORROS, CARNE, CEREALES Y LECHE;8;206;248; DOG CHOW ; Alimentos ; Caninos ; NESTLE S.A. 
12233688;DOGUI CACHORROS, CARNE, CEREALES Y LECHE;15;342.8;420; DOG CHOW ; Alimentos ; Caninos ; NESTLE S.A. 
12239028;DOGUI CACHORROS, CARNE, CEREALES Y LECHE;21;465.69;558; DOG CHOW ; Alimentos ; Caninos ; NESTLE S.A. 
12233995;DOGUI CARNE ASADA CON SELECCI…N DE VEGETALES;1.5;45.28;58; DOG CHOW ; Alimentos ; Caninos ; NESTLE S.A. 
12233998;DOGUI POLLO GRILLADO CON SELECCI…N DE VEGETALES;3;77.07;98; DOG CHOW ; Alimentos ; Caninos ; NESTLE S.A. 
12233996;DOGUI POLLO GRILLADO CON SELECCI…N DE VEGETALES;8;180.32;217; DOG CHOW ; Alimentos ; Caninos ; NESTLE S.A. 
12233997;DOGUI POLLO GRILLADO CON SELECCI…N DE VEGETALES;15;305.38;372; DOG CHOW ; Alimentos ; Caninos ; NESTLE S.A. 
12239756;DOGUI POLLO GRILLADO CON SELECCI…N DE VEGETALES;21;408.9;490; DOG CHOW ; Alimentos ; Caninos ; NESTLE S.A. 
12233992;DOGUI CARNE CON CEREALES Y ARROZ;1.5;45.28;58; DOG CHOW ; Alimentos ; Caninos ; NESTLE S.A. 
12233994;DOGUI CARNE CON CEREALES Y ARROZ;3;77.07;98; DOG CHOW ; Alimentos ; Caninos ; NESTLE S.A. 
12233993;DOGUI CARNE CON CEREALES Y ARROZ;8;180.32;217; DOG CHOW ; Alimentos ; Caninos ; NESTLE S.A. 
12305067;DOGUI CARNE CON CEREALES Y ARROZ;12;243.07;312; DOG CHOW ; Alimentos ; Caninos ; NESTLE S.A. 
12233991;DOGUI CARNE CON CEREALES Y ARROZ;15;305.38;372; DOG CHOW ; Alimentos ; Caninos ; NESTLE S.A. 
12239029;DOGUI CARNE CON CEREALES Y ARROZ;21;408.9;490; DOG CHOW ; Alimentos ; Caninos ; NESTLE S.A. 
