Codigo01;SIEGER COMPETENCIA;15;954.28;1194; SIEGER ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo02;SIEGER CACHORRO;15;954.93;1195; SIEGER ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo03;SIEGER CACHORRO;3;202.97;255; SIEGER ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo04;SIEGER CACHORRO (MORD.PEQ.);15;1050.27;1315; SIEGER ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo05;SIEGER CACHORRO (MORD.PEQ.);3;223.27;280; SIEGER ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo06;SIEGER ADULTO;15;890.42;1115; SIEGER ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo07;SIEGER ADULTO;3;192.36;241; SIEGER ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo08;SIEGER ADULTO (MORD. PEQ.);15;979.47;1226; SIEGER ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo09;SIEGER ADULTO (MORD. PEQ.);3;211.61;265; SIEGER ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo10;SIEGER CRIADORES;20;1014.72;1270; SIEGER ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo11;SIEGER CRIADORES;15;821.47;1028; SIEGER ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo12;SIEGER CRIADORES;3;185.12;232; SIEGER ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo13;SIEGER LIGHT;15;914.18;1145; SIEGER ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo14;SIEGER LIGHT;7.5;479.82;600; SIEGER ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo15;SIEGER LIGHT;3;197.21;248; SIEGER ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo16;MAXXIUM CACHORRO;20;922.84;1155; MAXXIUM ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo17;MAXXIUM CACHORRO;15;731.48;889; MAXXIUM ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo18;MAXXIUM CACHORRO;3;174.79;219; MAXXIUM ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo19;MAXXIUM ADULTO;20;818.1;1024; MAXXIUM ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo20;MAXXIUM ADULTO;15;645.79;809; MAXXIUM ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo21;MAXXIUM ADULTO;3;154.97;194; MAXXIUM ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo22;AGILITY CACHORRO;20;786.24;984; AGILITY ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo23;AGILITY CACHORRO;15;620.7;777; AGILITY ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo24;AGILITY CACHORRO;3;148.94;187; AGILITY ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo25;AGILITY ADULTO;20;703.76;853; AGILITY ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo26;AGILITY ADULTO;15;547.91;686; AGILITY ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo27;AGILITY ADULTO;3;131.52;165; AGILITY ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo28;GOOSTER PETS CACHORRO;10;373.01;467; GOSTER ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo29;GOOSTER PETS ADULTO POLLO/ARROZ          ;15;481.99;604; GOSTER ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo30;GOOSTER PETS ADULTO CARNE/ARROZ;15;481.99;604; GOSTER ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo31;GOOSTER PETS CRIADORES;21;636.71;798; GOSTER ; Alimentos ; Caninos ; MENCOR S.A. 
Codigo32;SIETE VIDAS ;10;526.48;660; SIETE VIDAS ; Alimentos ; Felinos ; MENCOR S.A. 
Codigo33;SIETE VIDAS ;1;56.86;71; SIETE VIDAS ; Alimentos ; Felinos ; MENCOR S.A. 
Codigo34;SULTAN MIX;15;254.98;321; SULTAN ; Alimentos ; Caninos ; MENCOR S.A. 
