GANACAN CACHORRO BOLSA ;15;379.08;538.00; Vitalcan ; Alimentos ; Caninos ; GRUPO PILAR S.A. 
GANACAN ADULTOS BOLSA ;15;307.45;438.00; Vitalcan ; Alimentos ; Caninos ; GRUPO PILAR S.A. 
EXACT PERRO CACHORRO ;15;285.29;410.00; Vitalcan ; Alimentos ; Caninos ; GRUPO PILAR S.A. 
EXACT PERRO ADULTO ;15;233.96;334.00; Vitalcan ; Alimentos ; Caninos ; GRUPO PILAR S.A. 
EXACT PERRO ADULTO ;25;377.31;539.00; Vitalcan ; Alimentos ; Caninos ; GRUPO PILAR S.A. 
EXACT GATO ADULTO 0;10;215.21;304.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
KEN-L RATION PREMIUM CACHORROS ;3;122.16;179.00; Vitalcan ; Alimentos ; Caninos ; GRUPO PILAR S.A. 
KEN-L RATION PREMIUM CACHORROS ;7.5;316.31;425.00; Vitalcan ; Alimentos ; Caninos ; GRUPO PILAR S.A. 
KEN-L RATION PREMIUM CACHORROS  ;15;584.77;775.00; Vitalcan ; Alimentos ; Caninos ; GRUPO PILAR S.A. 
KEN-L RATION PREMIUM CACHORROS  ;22;806.13;1074.00; Vitalcan ; Alimentos ; Caninos ; GRUPO PILAR S.A. 
KEN-L RATION PREMIUM ADULTO ;3;117.83;169.00; Vitalcan ; Alimentos ; Caninos ; GRUPO PILAR S.A. 
KEN-L RATION PREMIUM ADULTO ;7.5;300.27;403.00; Vitalcan ; Alimentos ; Caninos ; GRUPO PILAR S.A. 
KEN-L RATION PREMIUM ADULTO ;15;548.61;730.00; Vitalcan ; Alimentos ; Caninos ; GRUPO PILAR S.A. 
KEN-L RATION PREMIUM ADULTO ;22;756.09;1000.00; Vitalcan ; Alimentos ; Caninos ; GRUPO PILAR S.A. 
KEN-L RATION PREMIUM LIGTH ;3;120.47;172.00; Vitalcan ; Alimentos ; Caninos ; GRUPO PILAR S.A. 
KEN-L RATION PREMIUM LIGTH ;7.5;321.26;441.00; Vitalcan ; Alimentos ; Caninos ; GRUPO PILAR S.A. 
KEN-L RATION PREMIUM LIGTH ;15;610.09;818.00; Vitalcan ; Alimentos ; Caninos ; GRUPO PILAR S.A. 
KEN-L RATION GATOS ADULTOS ;1.5;109.85;151.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
KEN-L RATION GATOS ADULTOS ;3;208.78;289.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
KEN-L RATION GATOS ADULTOS ;7.5;454.96;623.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
KEN-L RATION GATOS CACHORROS ;1.5;117.68;165.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
KEN-L RATION GATOS CACHORROS ;3;223.64;311.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
KEN-L RATION GATOS CACHORROS ;7.5;515.52;698.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
KEN-L RATION GATOS LIGHT ;1.5;117.68;165.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
