35026;V50 Doypack Cachorros  CI;2;230.28;313; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
35012;V50 Cachorros  CI;7.5;495.1;671; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
35027;V50 Doypack Cachorros  CII;2;230.28;313; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
35022;V50 Cachorros  CII;7.5;495.1;671; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
35024;V50 Cachorros  CII;15;882.74;1197; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
13521;V35 Doypack Mantenimiento  CI;2;207.25;281; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
13511;V35 Mantenimiento  CI;15;805.98;1093; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
13522;V35 Doypack Matenimiento  CII;2;207.25;281; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
13502;V35 Mantenimiento ;7.5;475.91;645; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
13506;V35 Mantenimiento  CII;15;805.98;1093; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
13705;V37 Doypack Sobrepeso ;2;230.28;313; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
13702;V37 Sobrepeso ;7.5;495.1;671; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
13703;V37 Sobrepeso ;15;882.74;1197; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
25601;V56 Doypack Kitten ;0.75;149.68;203; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
25617;V56 Kitten Doypack ;2;291.69;396; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
25602;V56 Kitten ;7.5;667.81;905; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
24213;V42 Doypack Indoor ;2;284.01;385; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
24214;V42 Indoor ;7.5;644.78;849; Vitalcan ; Alimentos ; Caninos ; DISTRIGRAP S.A. 
24603;V46 Doypack Outdoor ;0.75;149.68;203; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
24205;SR doypack Senior ;2;284.01;385; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
24303;V43 Doypack Overweight ;0.75;149.68;203; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
24313;V43 Doypack Overweight ;2;284.01;385; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
24604;PH Doypack Control ;0.75;184.22;250; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
24624;PH Doypack Contro ;2;314.72;427; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
24625;PH Control ;7.5;690.84;937; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
31737;Balanced Perro Cachorro Raza PequeÏa ;1;75.03;100; Vitalcan ; Alimentos ; Felinos ; DISTRIGRAP S.A. 
